trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 1.0}",30,0,-120.51566479746981,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
2,False,"{'a': 0.1, 'e': 0.99}",20,0,-159.35482942622423,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
3,False,"{'a': 0.1, 'e': 0.9801}",20,0,-134.79499104603693,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.1, 'e': 0.970299}",30,0,-273.219645291122,"{0: 14, 1: 7, 2: 3, 3: 1, 4: 5}",0
5,False,"{'a': 0.1, 'e': 0.96059601}",25,10,-62.04464511673746,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 1}",1
6,False,"{'a': 0.1, 'e': 0.9509900498999999}",25,0,-143.7889887276849,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.1, 'e': 0.941480149401}",20,0,-69.53106954766281,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.1, 'e': 0.9320653479069899}",20,0,-28.663413182222786,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
9,False,"{'a': 0.1, 'e': 0.9227446944279201}",20,0,-87.62763992083059,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.1, 'e': 0.9135172474836408}",20,0,-96.1474826300316,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.9043820750088044}",25,0,-136.57100816525602,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.1, 'e': 0.8953382542587164}",25,0,-132.76540885985438,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
13,False,"{'a': 0.1, 'e': 0.8863848717161292}",30,0,-148.71732919186994,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
14,False,"{'a': 0.1, 'e': 0.8775210229989678}",30,0,-112.82924326599155,"{0: 20, 1: 1, 2: 5, 3: 4, 4: 0}",0
15,False,"{'a': 0.1, 'e': 0.8687458127689782}",30,0,-109.47453049131607,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.1, 'e': 0.8600583546412884}",20,0,-78.84540424318102,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.1, 'e': 0.8514577710948755}",20,0,-79.16526387222977,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.1, 'e': 0.8429431933839268}",25,0,-51.988580106028444,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.1, 'e': 0.8345137614500875}",20,0,-41.38884476118211,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
20,False,"{'a': 0.1, 'e': 0.8261686238355866}",20,0,-96.70161209122367,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
