trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 1.0}",35,5,-178.33835618439505,"{0: 16, 1: 7, 2: 4, 3: 0, 4: 3}",1
2,False,"{'a': 0.1, 'e': 0.99}",20,0,-109.59838491244864,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.1, 'e': 0.9801}",20,0,-79.29404444895007,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
4,False,"{'a': 0.1, 'e': 0.970299}",20,0,-72.43453032017985,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.1, 'e': 0.96059601}",20,0,-82.37980231548097,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.1, 'e': 0.9509900498999999}",25,0,-131.74590650649247,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.1, 'e': 0.941480149401}",20,0,-44.557268589733305,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
8,False,"{'a': 0.1, 'e': 0.9320653479069899}",30,0,-213.2031499980859,"{0: 15, 1: 2, 2: 8, 3: 3, 4: 2}",0
9,False,"{'a': 0.1, 'e': 0.9227446944279201}",20,0,-149.8011897044208,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.1, 'e': 0.9135172474836408}",25,0,-114.27568250681406,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.9043820750088044}",20,0,-88.57623927765319,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.1, 'e': 0.8953382542587164}",25,0,-143.1156336713488,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
13,False,"{'a': 0.1, 'e': 0.8863848717161292}",20,0,-33.81884200158067,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.1, 'e': 0.8775210229989678}",20,0,-149.16923980223925,"{0: 10, 1: 0, 2: 6, 3: 3, 4: 1}",0
15,False,"{'a': 0.1, 'e': 0.8687458127689782}",25,0,-149.0573140194058,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
16,False,"{'a': 0.1, 'e': 0.8600583546412884}",25,16,3.3146523501136107,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.1, 'e': 0.8514577710948755}",20,0,-180.1284758717068,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
18,False,"{'a': 0.1, 'e': 0.8429431933839268}",20,0,-158.22027655368683,"{0: 9, 1: 1, 2: 6, 3: 3, 4: 1}",0
19,False,"{'a': 0.1, 'e': 0.8345137614500875}",20,0,-99.89473429850595,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.1, 'e': 0.8261686238355866}",20,0,-263.12764128192424,"{0: 9, 1: 1, 2: 3, 3: 2, 4: 5}",0
1,True,"{'a': 0, 'e': 0}",20,0,-124.41843978272138,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",20,8,-89.56580867044862,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 2}",1
3,True,"{'a': 0, 'e': 0}",30,5,-195.95066918511458,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",1
4,True,"{'a': 0, 'e': 0}",20,16,6.840157899939589,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",35,0,-137.79375688260288,"{0: 23, 1: 4, 2: 6, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-105.01123643602799,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",30,0,-119.75497846379844,"{0: 21, 1: 4, 2: 2, 3: 1, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,0,-60.088836880246824,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,0,-110.0089396930291,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",35,8,-130.44227010391492,"{0: 15, 1: 2, 2: 8, 3: 1, 4: 1}",1
